PPP (D),2014,1/09 - 1/12,2014 New Hampshire Governor: Hemingway vs. Hassan
PPP (D),2014,1/09 - 1/12,2014 New Hampshire Gubernatorial GE
PPP (D),2014,1/09 - 1/12,2014 North Carolina Senate Republican Primary
PPP (D),2014,1/09 - 1/12,2014 North Carolina Senate: Brannon vs. Hagan
PPP (D),2014,1/09 - 1/12,2014 North Carolina Senate GE
PPP (D),2014,1/09 - 1/12,2014 North Carolina Senate GE
PPP (D),2014,1/09 - 1/12,2014 North Carolina Senate GE
PPP (D),2014,1/09 - 1/12,2014 North Carolina Senate: Tillis vs. Hagan
PPP (D),2014,1/10 - 1/13,2014 North Carolina Senate GE
PPP (D),2014,1/10 - 1/13,2014 North Carolina Senate GE
PPP (D),2014,1/10 - 1/13,2014 North Carolina Senate GE
PPP (D),2014,1/10 - 1/13,2014 North Carolina Senate GE
PPP (D),2014,1/10 - 1/13,2014 North Carolina Senate GE
PPP (D),2014,1/10 - 1/13,2014 North Carolina Senate GE
PPP (D),2014,1/10 - 1/13,2014 North Carolina Senate: Tillis vs. Hagan
PPP (D),2014,1/10 - 1/13,2014 North Carolina Senate Republican Primary
Democracy Corps (D),2014,1/10 - 1/14,2014 National House Race
YouGov/Economist,2014,1/11 - 1/13,2014 National House Race
PPP (D),2014,1/11 - 1/13,2014 Florida Governor: Scott vs. Crist
PPP (D),2014,1/11 - 1/13,2014 Florida Gubernatorial GE
PPP (D),2014,1/11 - 1/13,2014 Florida Gubernatorial GE
PPP (D),2014,1/11 - 1/13,2014 Florida Governor: Scott vs. Rich
PPP (D),2014,1/11 - 1/13,2014 Florida Governor: Scott vs. Sink
PPP (D),2014,1/11 - 1/13,2014 Florida Gubernatorial GE
PPP (D),2014,1/11 - 1/13,2014 Florida Governor Democratic Primary
Siena,2014,1/12 - 1/16,2014 New York Governor: Astorino vs. Cuomo
Tarrance (R-Roberts),2014,1/13 - 1/15,2014 Kansas Senate Republican Primary
Roanoke College,2014,1/13 - 1/17,2014 Virginia Senate: Gillespie vs. Warner
Rasmussen,2014,1/13 - 1/19,2014 National House Race
Rasmussen,2014,1/14 - 1/15,2014 Michigan Senate: Land vs. Peters
McLaughlin (R-Madison Coalition),2014,1/14 - 1/17,2014 National House Race
Rasmussen,2014,1/14 - 1/20,2014 National House Race
PPIC,2014,1/14 - 1/21,2014 California Governor Primary
StPetePolls.org,2014,1/15 - 1/15,2014 Florida House: 13th District Special Election
Quinnipiac,2014,1/15 - 1/19,2014 National House Race
Christopher Newport,2014,1/15 - 1/22,2014 Virginia Senate: Gillespie vs. Warner
McLaughlin (R-Jolly),2014,1/16 - 1/19,2014 Florida House: 13th District Special Election
MassINC/WBUR,2014,1/16 - 1/19,2014 Massachusetts Governor: Baker vs. Coakley
MassINC/WBUR,2014,1/16 - 1/19,2014 Massachusetts Gubernatorial GE
MassINC/WBUR,2014,1/16 - 1/19,2014 Massachusetts Gubernatorial GE
MassINC/WBUR,2014,1/16 - 1/19,2014 Massachusetts Gubernatorial GE
MassINC/WBUR,2014,1/16 - 1/19,2014 Massachusetts Gubernatorial GE
PPP (D),2014,1/16 - 1/21,2014 Florida Governor: Scott vs. Crist
PPP (D),2014,1/16 - 1/21,2014 Florida Governor: Scott vs. Rich
PPP (D),2014,1/16 - 1/21,2014 Florida Governor Democratic Primary
Behavior Research Center,2014,1/16 - 1/26,2014 Arizona Gubernatorial Republican Primary
Behavior Research Center,2014,1/16 - 1/26,2014 Arizona Gubernatorial Democratic Primary
Behavior Research Center,2014,1/16 - 1/26,2014 Arizona Governor: Bennett vs. DuVal
Behavior Research Center,2014,1/16 - 1/26,2014 Arizona Governor: Ducey vs. DuVal
Behavior Research Center,2014,1/16 - 1/26,2014 Arizona Gubernatorial GE
AP-GfK (Web),2014,1/17 - 1/21,2014 National House Race
YouGov/Economist,2014,1/18 - 1/20,2014 National House Race
PPP (D),2014,1/18 - 1/20,2014 Minnesota Gubernatorial GE
PPP (D),2014,1/18 - 1/20,2014 Minnesota Gubernatorial GE
PPP (D),2014,1/18 - 1/20,2014 Minnesota Gubernatorial GE
PPP (D),2014,1/18 - 1/20,2014 Minnesota Gubernatorial GE
PPP (D),2014,1/18 - 1/20,2014 Minnesota Governor: Zellers vs. Dayton
PPP (D),2014,1/18 - 1/20,2014 Minnesota Gubernatorial Republican Primary
PPP (D),2014,1/18 - 1/20,2014 Minnesota Governor: Johnson vs. Dayton
PPP (D),2014,1/18 - 1/20,2014 Maine Gubernatorial GE
PPP (D),2014,1/18 - 1/20,2014 Maine Governor: LePage vs. Michaud vs. Cutler
PPP (D),2014,1/18 - 1/20,2014 Maine Gubernatorial GE
PPP (D),2014,1/18 - 1/20,2014 Maine Gubernatorial GE
PPP (D),2014,1/18 - 1/20,2014 Maine Gubernatorial GE
PPP (D),2014,1/18 - 1/20,2014 Maine Gubernatorial Democratic Primary
PPP (D),2014,1/18 - 1/20,2014 Maine Senate GE
PPP (D),2014,1/18 - 1/20,2014 Maine Senate GE
PPP (D),2014,1/18 - 1/20,2014 Maine Senate GE
PPP (D),2014,1/18 - 1/20,2014 Maine Senate GE
PPP (D),2014,1/18 - 1/20,2014 Maine Senate Republican Primary
PPP (D),2014,1/18 - 1/20,2014 Minnesota Senate GE
PPP (D),2014,1/18 - 1/20,2014 Minnesota Senate GE
PPP (D),2014,1/18 - 1/20,2014 Minnesota Senate GE
PPP (D),2014,1/18 - 1/20,2014 Minnesota Senate GE
PPP (D),2014,1/18 - 1/20,2014 Minnesota Senate Republican Primary
Harper (R-Conservative Intelligence Briefing),2014,1/19 - 1/20,2014 Michigan Senate: Land vs. Peters
Harper (R-American Crossroads),2014,1/19 - 1/20,2014 Louisiana Senate: Cassidy vs. Landrieu
Harper (R-American Crossroads),2014,1/19 - 1/20,2014 Louisiana Senate Primary
FOX,2014,1/19 - 1/21,2014 National House Race
Rasmussen,2014,1/20 - 1/21,2014 Virginia Senate: Gillespie vs. Warner
Harper (R),2014,1/20 - 1/21,2014 North Carolina Senate GE
Harper (R),2014,1/20 - 1/21,2014 North Carolina Senate: Tillis vs. Hagan
Harper (R-American Crossroads),2014,1/20 - 1/22,2014 Alaska Senate: Treadwell vs. Begich
Harper (R-American Crossroads),2014,1/20 - 1/22,2014 Alaska Senate: Sullivan vs. Begich
Harper (R-American Crossroads),2014,1/20 - 1/22,2014 Alaska Senate: Miller vs. Begich
Harper (R),2014,1/20 - 1/22,2014 Montana Senate Democratic Primary
Marquette Law School,2014,1/20 - 1/23,2014 Wisconsin Governor: Walker vs. Burke
North Star Opinion Research (R-Graham),2014,1/20 - 1/26,2014 South Carolina Senate Republican Primary
Rasmussen,2014,1/20 - 1/26,2014 National House Race
Harper (R),2014,1/21 - 1/21,2014 West Virginia Senate GE
Harper (R),2014,1/21 - 1/21,2014 West Virginia Senate GE
Harper (R),2014,1/21 - 1/21,2014 West Virginia Senate GE
Purple Strategies,2014,1/21 - 1/23,2014 Massachusetts Governor: Baker vs. Coakley
Purple Strategies,2014,1/21 - 1/23,2014 Massachusetts Gubernatorial GE
Purple Strategies,2014,1/21 - 1/23,2014 Massachusetts Gubernatorial GE
Purple Strategies,2014,1/21 - 1/23,2014 Massachusetts Gubernatorial GE
Purple Strategies,2014,1/21 - 1/23,2014 New Hampshire Senate: Brown vs. Shaheen
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire House: 2nd District
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire CD-02
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire House: 1st District
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire CD-01
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire Senate GE
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire Senate GE
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire Senate GE
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire Senate: Brown vs. Shaheen
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire Governor: Gatsas vs. Hassan
UNH/WMUR,2014,1/21 - 1/26,2014 New Hampshire Governor: Hemingway vs. Hassan
Rasmussen,2014,1/21 - 1/27,2014 National House Race
Harper (R-American Crossroads),2014,1/22 - 1/23,2014 New Hampshire Senate: Brown vs. Shaheen
Gravis Marketing/Human Events (R),2014,1/22 - 1/23,2014 Pennsylvania Gubernatorial GE
Gravis Marketing/Human Events (R),2014,1/22 - 1/23,2014 Pennsylvania Gubernatorial GE
Gravis Marketing/Human Events (R),2014,1/22 - 1/23,2014 Pennsylvania Governor: Corbett vs. Schwartz
Gravis Marketing/Human Events (R),2014,1/22 - 1/23,2014 Pennsylvania Gubernatorial GE
Gravis Marketing/Human Events (R),2014,1/22 - 1/23,2014 Pennsylvania Governor: Corbett vs. Wolf
Gravis Marketing/Human Events (R),2014,1/22 - 1/23,2014 Pennsylvania Gubernatorial GE
Rasmussen,2014,1/22 - 1/23,2014 North Carolina Senate: Tillis vs. Hagan
Rasmussen,2014,1/22 - 1/23,2014 North Carolina Senate: Brannon vs. Hagan
Gravis Marketing/Human Events (R),2014,1/22 - 1/23,2014 Pennsylvania Gubernatorial Republican Primary
NBC/WSJ,2014,1/22 - 1/25,2014 National House Race
Quinnipiac,2014,1/22 - 1/27,2014 Florida Governor: Scott vs. Crist
Quinnipiac,2014,1/22 - 1/27,2014 Florida Governor: Scott vs. Rich
MTSU,2014,1/23 - 1/26,2014 Tennessee Senate Republican Primary
PPP (D),2014,1/23 - 1/26,2014 National House Race
DCCC (D),2014,1/24 - 1/24,2014 Florida House: 13th District Special Election
PPP (D-Americans United for Change),2014,1/24 - 1/26,2014 Georgia Senate: Broun vs. Nunn
PPP (D-Americans United for Change),2014,1/24 - 1/26,2014 Georgia Senate: Gingrey vs. Nunn
PPP (D-Americans United for Change),2014,1/24 - 1/26,2014 Georgia Senate: Handel vs. Nunn
PPP (D-Americans United for Change),2014,1/24 - 1/26,2014 Georgia Senate: Kingston vs. Nunn
PPP (D-Americans United for Change),2014,1/24 - 1/26,2014 Kentucky Senate: McConnell vs. Grimes
PPP (D),2014,1/24 - 1/27,2014 Texas Senate GE
PPP (D),2014,1/24 - 1/27,2014 Texas Senate GE
PPP (D),2014,1/24 - 1/27,2014 Texas Senate GE
PPP (D),2014,1/24 - 1/27,2014 Texas Senate GE
PPP (D),2014,1/24 - 1/27,2014 Texas Gubernatorial GE
PPP (D),2014,1/24 - 1/27,2014 Texas Gubernatorial GE
PPP (D),2014,1/24 - 1/27,2014 Texas Gubernatorial GE
PPP (D),2014,1/24 - 1/27,2014 Texas Gubernatorial GE
PPP (D),2014,1/24 - 1/27,2014 Texas Gubernatorial GE
PPP (D),2014,1/24 - 1/27,2014 Texas Governor: Abbott vs. Davis
PPP (D),2014,1/24 - 1/27,2014 Texas Gubernatorial GE
PPP (D),2014,1/24 - 1/27,2014 Texas Gubernatorial GE
PPP (D),2014,1/24 - 1/27,2014 Texas Gubernatorial Republican Primary
YouGov/Economist,2014,1/25 - 1/27,2014 National House Race
Harper (R-American Crossroads),2014,1/26 - 1/27,2014 Arkansas Senate: Cotton vs. Pryor
University of Florida,2014,1/27 - 2/01,2014 Florida Governor: Scott vs. Crist
University of Florida,2014,1/27 - 2/01,2014 Florida Gubernatorial GE
University of Florida,2014,1/27 - 2/01,2014 Florida Governor: Scott vs. Rich
Rasmussen,2014,1/27 - 2/02,2014 National House Race
Rasmussen,2014,1/28 - 1/29,2014 Louisiana Senate: Cassidy vs. Landrieu
Rasmussen,2014,1/28 - 1/29,2014 Louisiana Senate GE
Rasmussen,2014,1/28 - 2/03,2014 National House Race
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/29,2014 Iowa Senate Republican Primary
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/29,2014 Iowa Senate Democratic Primary
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/29,2014 Iowa Senate GE
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/29,2014 Iowa Senate GE
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/29,2014 Iowa Senate GE
Gravis Marketing/Human Events (R),2014,1/29 - 1/30,2014 New Hampshire Senate Republican Primary
Rasmussen,2014,1/29 - 1/30,2014 Kentucky Senate: Bevin vs. Grimes
Rasmussen,2014,1/29 - 1/30,2014 Kentucky Senate: McConnell vs. Grimes
Clarity (D-EMILY'S List),2014,1/29 - 1/30,2014 West Virginia Senate: Capito vs. Tennant
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/30,2014 Alaska Senate GE
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/30,2014 Alaska Senate GE
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/30,2014 Alaska Senate: Miller vs. Begich
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/30,2014 Alaska Senate: Treadwell vs. Begich
Harper (R-Conservative Intelligence Briefing),2014,1/29 - 1/30,2014 Alaska Senate Republican Primary
PPP (D),2014,1/29 - 1/30,2014 Massachusetts Gubernatorial GE
PPP (D),2014,1/29 - 1/30,2014 Massachusetts Gubernatorial GE
PPP (D),2014,1/29 - 1/30,2014 Massachusetts Gubernatorial GE
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Governor: Tancredo vs. Hickenlooper
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Governor: Gessler vs. Hickenlooper
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Gubernatorial GE
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Governor: Kopp vs. Hickenlooper
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Senate GE
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Senate GE
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Senate GE
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Senate GE
Quinnipiac,2014,1/29 - 2/02,2014 Colorado Senate GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Governor Democratic Primary
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial Republican Primary
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Governor: Baker vs. Coakley
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Suffolk,2014,1/29 - 2/03,2014 Massachusetts Gubernatorial GE
Mass Insight/Opinion Dynamics,2014,1/29 - 2/08,2014 Massachusetts Gubernatorial GE
Mass Insight/Opinion Dynamics,2014,1/29 - 2/08,2014 Massachusetts Governor: Baker vs. Coakley
Gravis Marketing,2014,1/30 - 1/31,2014 Florida Governor: Scott vs. Crist
PPP (D),2014,1/30 - 2/01,2014 Alaska Senate Republican Primary
PPP (D),2014,1/30 - 2/01,2014 Alaska Senate: Miller vs. Begich
PPP (D),2014,1/30 - 2/01,2014 Alaska Senate GE
PPP (D),2014,1/30 - 2/01,2014 Alaska Senate: Sullivan vs. Begich
PPP (D),2014,1/30 - 2/01,2014 Alaska Senate: Treadwell vs. Begich
PPP (D),2014,1/30 - 2/01,2014 Alaska Governor: Parnell vs. Mallott
PPP (D),2014,1/30 - 2/01,2014 Alaska CD-AL
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014,1/30 - 2/04,2014 Kentucky Senate: McConnell vs. Grimes
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014,1/30 - 2/04,2014 Kentucky Senate Republican Primary
The Polling Company Inc./WomanTrend (R-Citizens United/Broun),2014,1/31 - 2/01,2014 Georgia Senate Republican Primary
PPP (D),2014,1/31 - 2/03,2014 National House Race
We Ask America/Capitol Fax,2014,10/01 - 10/01,2014 Illinois CD-12
We Ask America/Capitol Fax,2014,10/01 - 10/01,2014 Illinois CD-13
GQR (D-DCCC),2014,10/01 - 10/02,2014 Iowa House: 3rd District
National Research (R-Southerland),2014,10/01 - 10/02,2014 Florida House: 2nd District
Rasmussen,2014,10/01 - 10/02,2014 Texas Senate: Cornyn vs. Alameel
Rasmussen,2014,10/01 - 10/02,2014 Texas Governor: Abbott vs. Davis
The Polling Company Inc./WomanTrend (R-King),2014,10/01 - 10/02,2014 Iowa House: 4th District
Loras College,2014,10/01 - 10/03,2014 Iowa Senate: Ernst vs. Braley
Loras College,2014,10/01 - 10/03,2014 Iowa Governor: Branstad vs. Hatch
MassINC/WBUR,2014,10/01 - 10/04,2014 Massachusetts Governor: Baker vs. Coakley
MassINC/WBUR,2014,10/01 - 10/04,2014 Massachusetts Senate: Herr vs. Markey
Opinion Research Associates (D-Arkansas Democratic Party),2014,10/01 - 10/05,2014 Arkansas Senate: Cotton vs. Pryor
Opinion Research Associates (D-Arkansas Democratic Party),2014,10/01 - 10/05,2014 Arkansas Governor: Hutchinson vs. Ross
SurveyUSA/KOTA/KSFY/Aberdeen American News,2014,10/01 - 10/05,2014 South Dakota Senate: Rounds vs. Weiland
SurveyUSA/KOTA/KSFY/Aberdeen American News,2014,10/01 - 10/05,2014 South Dakota Governor: Daugaard vs. Wismer
SurveyUSA/KOTA/KSFY/Aberdeen American News,2014,10/01 - 10/05,2014 South Dakota House: At-Large District
Lukens Company (R-Susan B. Anthony List),2014,10/01 - 10/06,2014 North Carolina Senate: Tillis vs. Hagan
Reason/Rupe,2014,10/01 - 10/06,2014 National House Race
University of Mary Washington/PSRAI,2014,10/01 - 10/06,2014 Virginia Senate: Gillespie vs. Warner
CNN,2014,10/01 - 10/06,2014 Alaska Senate: Sullivan vs. Begich
CNN,2014,10/01 - 10/06,2014 Alaska Governor: Parnell vs. Walker
Quinnipiac,2014,10/01 - 10/06,2014 New York Governor: Astorino vs. Cuomo
Quinnipiac,2014,10/01 - 10/06,2014 Connecticut Governor: Foley vs. Malloy
WNEU,2014,10/01 - 10/07,2014 Massachusetts Gubernatorial GE
WNEU,2014,10/01 - 10/07,2014 Massachusetts Governor: Baker vs. Coakley
Gonzales Research,2014,10/01 - 10/14,2014 Maryland Governor Democratic Primary
PPP (D-League of Conservation Voters),2014,10/02 - 10/03,2014 Michigan Senate: Land vs. Peters
PPP (D-League of Conservation Voters),2014,10/02 - 10/03,2014 Michigan Governor: Snyder vs. Schauer
Glengariff/Detroit News/WDIV,2014,10/02 - 10/04,2014 Michigan Senate: Land vs. Peters
Glengariff/Detroit News/WDIV,2014,10/02 - 10/04,2014 Michigan Governor: Snyder vs. Schauer
SurveyUSA/KSN-TV,2014,10/02 - 10/05,2014 Kansas Senate
SurveyUSA/KSN-TV,2014,10/02 - 10/05,2014 Kansas Governor: Brownback vs. Davis
PPP (D),2014,10/02 - 10/05,2014 Georgia Senate: Perdue vs. Nunn
PPP (D),2014,10/02 - 10/05,2014 Georgia Governor: Deal vs. Carter
PPP (D),2014,10/02 - 10/05,2014 Georgia Senate Runoff
Monmouth University,2014,10/02 - 10/05,2014 New Jersey Senate: Bell vs. Booker
Washington Post/University of Maryland,2014,10/02 - 10/05,2014 Maryland Governor: Hogan vs. Brown
Brown University,2014,10/02 - 10/05,2014 Rhode Island Governor Democratic Primary
Brown University,2014,10/02 - 10/05,2014 Rhode Island Governor: Fung vs. Raimondo
Brown University,2014,10/02 - 10/05,2014 Rhode Island Gubernatorial GE
PPP (D),2014,10/02 - 10/05,2014 Connecticut Governor: Foley vs. Malloy
SurveyUSA/11Alive,2014,10/02 - 10/06,2014 Georgia Senate: Perdue vs. Nunn
SurveyUSA/11Alive,2014,10/02 - 10/06,2014 Georgia Governor: Deal vs. Carter
CNN,2014,10/02 - 10/06,2014 Kansas Senate
CNN,2014,10/02 - 10/06,2014 Kansas Governor: Brownback vs. Davis
SurveyUSA/KGTV-TV/U-T San Diego,2014,10/02 - 10/06,2014 California House: 52nd District
SurveyUSA/WFLA-TV,2014,10/02 - 10/06,2014 Florida Governor: Scott vs. Crist
University of Illinois Springfield,2014,10/02 - 10/08,2014 Illinois Governor: Rauner vs. Quinn
University of Illinois Springfield,2014,10/02 - 10/08,2014 Illinois Senate: Oberweis vs. Durbin
New England College,2014,10/03 - 10/03,2014 New Hampshire House: 2nd District
New England College,2014,10/03 - 10/03,2014 New Hampshire House: 1st District
New England College,2014,10/03 - 10/03,2014 New Hampshire Senate: Brown vs. Shaheen
New England College,2014,10/03 - 10/03,2014 New Hampshire Governor: Havenstein vs. Hassan
Magellan (R-Priorities for Iowa),2014,10/03 - 10/03,2014 Iowa Senate: Ernst vs. Braley
Magellan (R-Priorities for Iowa),2014,10/03 - 10/03,2014 Iowa Governor: Branstad vs. Hatch
Gravis Marketing/TownHall.com,2014,10/03 - 10/04,2014 Wisconsin Governor: Walker vs. Burke
Anzalone Liszt Grove (D-Wakefield),2014,10/03 - 10/06,2014 Kansas House: 2nd District
SurveyUSA/KSTP-TV,2014,10/03 - 10/06,2014 Minnesota House: 7th District
CBS,2014,10/03 - 10/06,2014 National House Race
Ipsos/Reuters,2014,10/03 - 10/07,2014 National House Race
Global Strategy Group (D-DGA),2014,10/03 - 10/08,2014 Hawaii Governor: Aiona vs. Ige
Bloomberg/Des Moines Register/Selzer,2014,10/03 - 10/08,2014 Iowa Senate: Ernst vs. Braley
Bloomberg/Des Moines Register/Selzer,2014,10/03 - 10/08,2014 Iowa Governor: Branstad vs. Hatch
NBC/WSJ/Annenberg,2014,10/03 - 10/09,2014 National House Race
Global Strategy Group/Lester (D-DCCC),2014,10/04 - 10/06,2014 Illinois House: 10th District
PPP (D),2014,10/04 - 10/06,2014 National House Race
Lukens Company (R),2014,10/04 - 10/07,2014 Iowa Senate: Ernst vs. Braley
POS (R-Tillis/NRSC),2014,10/04 - 10/07,2014 North Carolina Senate: Tillis vs. Hagan
FOX,2014,10/04 - 10/07,2014 Kentucky Senate: McConnell vs. Grimes
FOX,2014,10/04 - 10/07,2014 Colorado Senate: Gardner vs. Udall
FOX,2014,10/04 - 10/07,2014 Colorado Governor: Beauprez vs. Hickenlooper
FOX,2014,10/04 - 10/07,2014 Arkansas Senate: Cotton vs. Pryor
FOX,2014,10/04 - 10/07,2014 Arkansas Governor: Hutchinson vs. Ross
FOX,2014,10/04 - 10/07,2014 Alaska Senate: Sullivan vs. Begich
FOX,2014,10/04 - 10/07,2014 Alaska Governor: Parnell vs. Walker
FOX,2014,10/04 - 10/07,2014 Kansas Senate
FOX,2014,10/04 - 10/07,2014 Kansas Governor: Brownback vs. Davis
Suffolk/USA Today,2014,10/04 - 10/07,2014 North Carolina Senate: Tillis vs. Hagan
PPP (D-Center for American Progress Action Fund),2014,10/04 - 10/07,2014 Florida Governor: Scott vs. Crist
Baltimore Sun/OpinionWorks,2014,10/04 - 10/08,2014 Maryland Governor: Hogan vs. Brown
SurveyUSA/High Point University,2014,10/04 - 10/08,2014 New Hampshire Senate: Brown vs. Shaheen
SurveyUSA/High Point University,2014,10/04 - 10/08,2014 New Hampshire Governor: Havenstein vs. Hassan
SurveyUSA/High Point University,2014,10/04 - 10/08,2014 Colorado Senate: Gardner vs. Udall
SurveyUSA/High Point University,2014,10/04 - 10/08,2014 Colorado Governor: Beauprez vs. Hickenlooper
POS (R-Martinez),2014,10/05 - 10/07,2014 New Mexico Governor: Martinez vs. King
GQR (D-Maine Forward PAC),2014,10/05 - 10/07,2014 Maine Governor: LePage vs. Michaud vs. Cutler
POS (R-Minnesota Republican Party),2014,10/05 - 10/07,2014 Minnesota Senate: McFadden vs. Franken
Boston Globe/SocialSphere,2014,10/05 - 10/07,2014 Massachusetts Governor: Baker vs. Coakley
Stockton,2014,10/05 - 10/08,2014 New Jersey Senate: Bell vs. Booker
We Ask America/Reboot Illinois,2014,10/06 - 10/06,2014 Illinois Senate: Oberweis vs. Durbin
We Ask America/Reboot Illinois,2014,10/06 - 10/06,2014 Illinois Governor: Rauner vs. Quinn
Wenzel Strategies (R),2014,10/06 - 10/07,2014 Michigan Senate: Land vs. Peters
Emerson College Polling Society/WGBH,2014,10/06 - 10/07,2014 Massachusetts Governor: Baker vs. Coakley
Rasmussen,2014,10/06 - 10/07,2014 North Carolina Senate: Tillis vs. Hagan
Emerson College Polling Society/WGBH,2014,10/06 - 10/07,2014 Massachusetts CD-09
Mason-Dixon/Casper Star-Tribune,2014,10/06 - 10/08,2014 Wyoming Governor: Mead vs. Gosar
"Normington, Petts & Associates (D-Michaud)",2014,10/06 - 10/08,2014 Maine Governor: LePage vs. Michaud vs. Cutler
The Polling Company Inc./WomanTrend (R-American Encore),2014,10/06 - 10/08,2014 Arizona Governor: Ducey vs. DuVal
Democracy Corps (D-WVWV),2014,10/06 - 10/08,2014 National House Race
Frederick Polls (D-Murphy),2014,10/06 - 10/08,2014 Florida CD-18
Frederick Polls (D-Murphy),2014,10/06 - 10/08,2014 Florida CD-18
Gravis Marketing,2014,10/06 - 10/09,2014 Maryland Governor: Hogan vs. Brown
Fleming and Associates/WPRI,2014,10/06 - 10/09,2014 Rhode Island Governor: Fung vs. Raimondo
VCR (R-American Unity PAC),2014,10/06 - 10/09,2014 Massachusetts House: 6th District
MSU-Billings,2014,10/06 - 10/11,2014 Montana House: At-Large District: Zinke vs. Lewis
